Salariés,Zone,Secteur,Type Site,Domaines,Pack Hébergement,Nb Emails,CMS,SSL,CDN,Options,Durée (ans),Prix Domaines (€ HT),Prix Hébergement (€ HT),Prix SSL (€ HT),Prix CDN (€ HT),Prix Options (€ HT),TOTAL (€ HT),TOTAL (€ TTC),Prix/mois (€ TTC)
Freelance,Local,Commerce & Retail,Vitrine,.fr,Starter,2,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,7.79,11.88,0.00,0.00,0.00,19.67,23.60,1.97
Freelance,Local,Commerce & Retail,Vente,.fr,Perso,10,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,7.79,39.48,61.59,33.48,24.00,166.34,199.61,16.63
Freelance,Local,Restauration & Hôtellerie,Vitrine,.fr,Starter,2,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Visibilité Pro (Google Maps),1,7.79,11.88,0.00,0.00,588.00,607.67,729.20,60.77
Freelance,Local,Restauration & Hôtellerie,Vente,.fr,Perso,10,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,7.79,39.48,61.59,33.48,24.00,166.34,199.61,16.63
Freelance,Local,Services & Conseil,Vitrine,.fr,Starter,2,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,7.79,11.88,0.00,0.00,0.00,19.67,23.60,1.97
Freelance,Local,Services & Conseil,Vente,.fr,Perso,10,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,7.79,39.48,61.59,33.48,24.00,166.34,199.61,16.63
Freelance,Local,Santé & Médical,Vitrine,.fr,Starter,2,WordPress,Sectigo DV,CDN Security (RGPD),Aucune,1,7.79,11.88,61.59,79.08,0.00,160.34,192.41,16.03
Freelance,Local,Santé & Médical,Vente,.fr,Perso,10,PrestaShop,Sectigo DV,CDN Security (RGPD),Sauvegardes automatiques,1,7.79,39.48,61.59,79.08,24.00,211.94,254.33,21.19
Freelance,Local,Tech & Digital,Vitrine,.fr,Starter,2,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,7.79,11.88,0.00,0.00,0.00,19.67,23.60,1.97
Freelance,Local,Tech & Digital,Vente,.fr,Perso,10,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,7.79,39.48,61.59,33.48,24.00,166.34,199.61,16.63
Freelance,Local,Créatif & Arts,Vitrine,.fr,Starter,2,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,7.79,11.88,0.00,0.00,0.00,19.67,23.60,1.97
Freelance,Local,Créatif & Arts,Vente,.fr,Perso,10,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,7.79,39.48,61.59,33.48,24.00,166.34,199.61,16.63
Freelance,Local,Industrie & BTP,Vitrine,.fr,Starter,2,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,7.79,11.88,0.00,0.00,0.00,19.67,23.60,1.97
Freelance,Local,Industrie & BTP,Vente,.fr,Perso,10,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,7.79,39.48,61.59,33.48,24.00,166.34,199.61,16.63
Freelance,Local,Finance & Assurance,Vitrine,.fr,Starter,2,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,7.79,11.88,0.00,0.00,0.00,19.67,23.60,1.97
Freelance,Local,Finance & Assurance,Vente,.fr,Perso,10,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,7.79,39.48,61.59,33.48,24.00,166.34,199.61,16.63
Freelance,National,Commerce & Retail,Vitrine,.fr + .com,Starter,2,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,21.28,11.88,0.00,0.00,0.00,33.16,39.79,3.32
Freelance,National,Commerce & Retail,Vente,.fr + .com,Perso,10,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,21.28,39.48,61.59,33.48,24.00,179.83,215.80,17.98
Freelance,National,Restauration & Hôtellerie,Vitrine,.fr + .com,Starter,2,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,21.28,11.88,0.00,0.00,0.00,33.16,39.79,3.32
Freelance,National,Restauration & Hôtellerie,Vente,.fr + .com,Perso,10,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,21.28,39.48,61.59,33.48,24.00,179.83,215.80,17.98
Freelance,National,Services & Conseil,Vitrine,.fr + .com,Starter,2,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,21.28,11.88,0.00,0.00,0.00,33.16,39.79,3.32
Freelance,National,Services & Conseil,Vente,.fr + .com,Perso,10,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,21.28,39.48,61.59,33.48,24.00,179.83,215.80,17.98
Freelance,National,Santé & Médical,Vitrine,.fr + .com,Starter,2,WordPress,Sectigo DV,CDN Security (RGPD),Aucune,1,21.28,11.88,61.59,79.08,0.00,173.83,208.60,17.38
Freelance,National,Santé & Médical,Vente,.fr + .com,Perso,10,PrestaShop,Sectigo DV,CDN Security (RGPD),Sauvegardes automatiques,1,21.28,39.48,61.59,79.08,24.00,225.43,270.52,22.54
Freelance,National,Tech & Digital,Vitrine,.fr + .com,Starter,2,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,21.28,11.88,0.00,0.00,0.00,33.16,39.79,3.32
Freelance,National,Tech & Digital,Vente,.fr + .com,Perso,10,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,21.28,39.48,61.59,33.48,24.00,179.83,215.80,17.98
Freelance,National,Créatif & Arts,Vitrine,.fr + .com,Starter,2,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,21.28,11.88,0.00,0.00,0.00,33.16,39.79,3.32
Freelance,National,Créatif & Arts,Vente,.fr + .com,Perso,10,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,21.28,39.48,61.59,33.48,24.00,179.83,215.80,17.98
Freelance,National,Industrie & BTP,Vitrine,.fr + .com,Starter,2,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,21.28,11.88,0.00,0.00,0.00,33.16,39.79,3.32
Freelance,National,Industrie & BTP,Vente,.fr + .com,Perso,10,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,21.28,39.48,61.59,33.48,24.00,179.83,215.80,17.98
Freelance,National,Finance & Assurance,Vitrine,.fr + .com,Starter,2,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,21.28,11.88,0.00,0.00,0.00,33.16,39.79,3.32
Freelance,National,Finance & Assurance,Vente,.fr + .com,Perso,10,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,21.28,39.48,61.59,33.48,24.00,179.83,215.80,17.98
Freelance,International,Commerce & Retail,Vitrine,.com + .eu,Starter,2,WordPress,Let's Encrypt (Gratuit),CDN Basic,Aucune,1,22.08,11.88,0.00,33.48,0.00,67.44,80.93,6.74
Freelance,International,Commerce & Retail,Vente,.com + .eu,Perso,10,PrestaShop,Sectigo DV,CDN Security,Sauvegardes automatiques,1,22.08,39.48,61.59,79.08,24.00,226.23,271.48,22.62
Freelance,International,Restauration & Hôtellerie,Vitrine,.com + .eu,Starter,2,WordPress,Let's Encrypt (Gratuit),CDN Basic,Aucune,1,22.08,11.88,0.00,33.48,0.00,67.44,80.93,6.74
Freelance,International,Restauration & Hôtellerie,Vente,.com + .eu,Perso,10,PrestaShop,Sectigo DV,CDN Security,Sauvegardes automatiques,1,22.08,39.48,61.59,79.08,24.00,226.23,271.48,22.62
